date,price_soybean,real_interest_rate,SP500,usa_prod,previous_price_soybean,previous_usa_production,previous_SP500,previous_real_interest_rate,price_soybean_avg_3_months,price_soybean_avg_6_months,price_soybean_avg_12_months,3mprevious_price_soybean,3mprevious_SP500,3mprevious_real_interest_rate,6mprevious_price_soybean,6mprevious_SP500,6mprevious_real_interest_rate,month,year,month_sin,month_cos,year_sin,year_cos
1990-07-02,610.0,0.8825650222548482,0.0,0.1292976377952756,650.5,52.416,326.2,4.38261,622.5833333333334,615.3333333333334,595.4791666666666,648.5,326.2,4.12762,561.0,326.2,4.12762,7,1990,-0.4999999999999997,-0.8660254037844388,-0.09927336893445206,0.9950601982897337
1990-08-01,613.75,0.8507317617105105,0.0,0.1292976377952756,610.0,52.416,326.2,4.34182,624.75,620.8333333333334,597.6666666666666,607.25,326.2,4.36693,580.75,326.2,4.36693,8,1990,-0.8660254037844384,-0.5000000000000004,-0.09927336893445206,0.9950601982897337
1990-09-03,617.5,0.8931432766198648,0.0,0.1292976377952756,613.75,52.416,326.2,4.17053,613.75,624.5833333333334,601.7916666666666,650.5,326.2,4.55197,595.0,326.2,4.55197,9,1990,-1.0,-1.8369701987210297e-16,-0.09927336893445206,0.9950601982897337
1990-10-01,609.25,0.8563089474711244,0.0,0.1292976377952756,617.5,52.416,326.2,4.39874,613.5,618.0416666666666,604.875,610.0,326.2,4.55216,648.5,326.2,4.55216,10,1990,-0.8660254037844386,0.5000000000000001,-0.09927336893445206,0.9950601982897337
1990-11-01,589.5,0.8299766765473855,0.0,0.1292976377952756,609.25,52.416,326.2,4.20054,605.4166666666666,615.0833333333334,605.4375,613.75,326.2,4.80506,607.25,326.2,4.80506,11,1990,-0.5000000000000004,0.8660254037844384,-0.09927336893445206,0.9950601982897337
1990-12-03,574.75,0.7993253853945008,0.0,0.1292976377952756,589.5,52.416,326.2,4.05885,591.1666666666666,602.4583333333334,604.8125,617.5,326.2,4.38261,650.5,326.2,4.38261,12,1990,-2.4492935982947064e-16,1.0,-0.09927336893445206,0.9950601982897337
1991-01-01,566.75,0.8047167269111757,0.0,0.15007244094488192,574.75,52.416,326.2,3.89392,577.0,595.25,605.2916666666666,609.25,326.2,4.34182,610.0,326.2,4.34182,1,1991,0.49999999999999994,0.8660254037844387,-0.09618083348264611,0.9953638768162041
1991-02-01,588.0,0.8017655203174219,0.0,0.15007244094488192,566.75,52.416,326.2,3.92293,576.5,590.9583333333334,605.8958333333334,589.5,326.2,4.17053,613.75,326.2,4.17053,2,1991,0.8660254037844386,0.5000000000000001,-0.09618083348264611,0.9953638768162041
1991-03-01,574.75,0.8517185946458272,0.0,0.15007244094488192,588.0,52.416,326.2,3.90705,576.5,583.8333333333334,604.2083333333334,574.75,326.2,4.39874,617.5,326.2,4.39874,3,1991,1.0,6.123233995736766e-17,-0.09618083348264611,0.9953638768162041
1991-04-01,589.5,0.8394510161034036,0.0,0.15007244094488192,574.75,52.416,326.2,4.17584,584.0833333333334,580.5416666666666,599.2916666666666,566.75,326.2,4.20054,609.25,326.2,4.20054,4,1991,0.8660254037844387,-0.4999999999999998,-0.09618083348264611,0.9953638768162041
1991-05-01,581.75,0.828317087449009,0.0,0.15007244094488192,589.5,52.416,326.2,4.10983,582.0,579.25,597.1666666666666,588.0,326.2,4.05885,589.5,326.2,4.05885,5,1991,0.49999999999999994,-0.8660254037844387,-0.09618083348264611,0.9953638768162041
1991-06-03,536.75,0.8539115567243093,0.0,0.15007244094488192,581.75,52.416,326.2,4.04992,569.3333333333334,572.9166666666666,587.6875,574.75,326.2,3.89392,574.75,326.2,3.89392,6,1991,1.2246467991473532e-16,-1.0,-0.09618083348264611,0.9953638768162041
1991-07-01,600.5,0.8603436260070434,0.0,0.15007244094488192,536.75,54.065,326.2,4.18764,573.0,578.5416666666666,586.8958333333334,589.5,326.2,3.92293,566.75,326.2,3.92293,7,1991,-0.4999999999999997,-0.8660254037844388,-0.09618083348264611,0.9953638768162041
1991-08-01,590.5,0.8450430694035328,0.0,0.15007244094488192,600.5,54.065,326.2,4.22225,575.9166666666666,578.9583333333334,584.9583333333334,581.75,326.2,3.90705,588.0,326.2,3.90705,8,1991,-0.8660254037844384,-0.5000000000000004,-0.09618083348264611,0.9953638768162041
1991-09-02,587.0,0.796459667152959,0.0,0.15007244094488192,590.5,54.065,326.2,4.13992,592.6666666666666,581.0,582.4166666666666,536.75,326.2,4.17584,574.75,326.2,4.17584,9,1991,-1.0,-1.8369701987210297e-16,-0.09618083348264611,0.9953638768162041
