price_soybean,real_interest_rate,SP500,usa_prod,price_soybean (t-1),real_interest_rate (t-1),SP500 (t-1),usa_prod (t-1),price_soybean (t-3),real_interest_rate (t-3),SP500 (t-3),usa_prod (t-3),price_soybean (t-6),real_interest_rate (t-6),SP500 (t-6),usa_prod (t-6),year,month_sin,month_cos,date
1049.25,0.70096,1.2051624983282065,1.3239173240535487,1.0862325304787392,0.58086,1.1852347198074094,1.3239173240535487,1.286946179006839,0.59099,1.171726628326869,1.3239173240535487,1.7992863514719002,0.70222,1.1586197672863447,1.3239173240535487,2014,-0.8660254037844386,0.5000000000000001,2014-10-01
1016.0,0.7133,1.22950381168918,1.3239173240535487,1.247992863514719,0.70096,1.2051624983282065,1.3239173240535487,1.2182575081772227,0.64941,1.2138558245285542,1.3239173240535487,1.776092774308653,0.62685,1.1729303196469172,1.3239173240535487,2014,-0.5000000000000004,0.8660254037844384,2014-11-03
1023.5,0.38473,1.234452320449378,1.3239173240535487,1.208444840915849,0.7133,1.22950381168918,1.3239173240535487,1.0862325304787392,0.58086,1.1852347198074094,1.3239173240535487,1.376449598572703,0.62453,1.190450715527618,1.3239173240535487,2014,-2.4492935982947064e-16,1.0,2014-12-01
961.0,0.70994,1.1777450849271098,1.3234714980990478,1.2173654475170979,0.38473,1.234452320449378,1.3239173240535487,1.247992863514719,0.70096,1.2051624983282065,1.3239173240535487,1.286946179006839,0.59099,1.171726628326869,1.3239173240535487,2015,0.49999999999999994,0.8660254037844387,2015-01-02
1031.75,0.53838,1.2391333422495652,1.3234714980990478,1.1430270591733571,0.70994,1.1777450849271098,1.3234714980990478,1.208444840915849,0.7133,1.22950381168918,1.3239173240535487,1.2182575081772227,0.64941,1.2138558245285542,1.3239173240535487,2015,0.8660254037844386,0.5000000000000001,2015-02-02
973.25,0.75171,1.218403102848736,1.3234714980990478,1.2271781147784715,0.53838,1.2391333422495652,1.3234714980990478,1.2173654475170979,0.38473,1.234452320449378,1.3239173240535487,1.0862325304787392,0.58086,1.1852347198074094,1.3239173240535487,2015,1.0,6.123233995736766e-17,2015-03-02
976.0,0.41032,1.237528420489501,1.3234714980990478,1.1575973832887303,0.75171,1.218403102848736,1.3234714980990478,1.1430270591733571,0.70994,1.1777450849271098,1.3234714980990478,1.247992863514719,0.70096,1.2051624983282065,1.3239173240535487,2015,0.8660254037844387,-0.4999999999999998,2015-04-01
934.0,0.53392,1.2435468770897418,1.3234714980990478,1.160868272375855,0.41032,1.237528420489501,1.3234714980990478,1.2271781147784715,0.53838,1.2391333422495652,1.3234714980990478,1.208444840915849,0.7133,1.22950381168918,1.3239173240535487,2015,0.49999999999999994,-0.8660254037844387,2015-05-01
1037.25,0.55378,1.2166644376086666,1.3234714980990478,1.110912875408861,0.53392,1.2435468770897418,1.3234714980990478,1.1575973832887303,0.75171,1.218403102848736,1.3234714980990478,1.2173654475170979,0.38473,1.234452320449378,1.3239173240535487,2015,1.2246467991473532e-16,-1.0,2015-06-01
940.25,0.66707,1.2196067941687843,1.3234714980990478,1.2337198929527209,0.55378,1.2166644376086666,1.3234714980990478,1.160868272375855,0.41032,1.237528420489501,1.3234714980990478,1.1430270591733571,0.70994,1.1777450849271098,1.3234714980990478,2015,-0.4999999999999997,-0.8660254037844388,2015-07-01
887.5,0.54831,1.1431055236057241,1.3234714980990478,1.1183467142432353,0.66707,1.2196067941687843,1.3234714980990478,1.110912875408861,0.53392,1.2435468770897418,1.3234714980990478,1.2271781147784715,0.53838,1.2391333422495652,1.3234714980990478,2015,-0.8660254037844384,-0.5000000000000004,2015-08-03
892.0,0.51246,1.1080647318443224,1.3234714980990478,1.055605114481118,0.54831,1.1431055236057241,1.3234714980990478,1.2337198929527209,0.55378,1.2166644376086666,1.3234714980990478,1.1575973832887303,0.75171,1.218403102848736,1.3234714980990478,2015,-1.0,-1.8369701987210297e-16,2015-09-01
885.75,0.52877,1.1880433328875215,1.3234714980990478,1.0609574784418674,0.51246,1.1080647318443224,1.3234714980990478,1.1183467142432353,0.66707,1.2196067941687843,1.3234714980990478,1.160868272375855,0.41032,1.237528420489501,1.3234714980990478,2015,-0.8660254037844386,0.5000000000000001,2015-10-01
881.0,0.66621,1.1925906112077036,1.3234714980990478,1.0535236396074934,0.52877,1.1880433328875215,1.3234714980990478,1.055605114481118,0.54831,1.1431055236057241,1.3234714980990478,1.110912875408861,0.53392,1.2435468770897418,1.3234714980990478,2015,-0.5000000000000004,0.8660254037844384,2015-11-02
